Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,301,Grambling,Southwestern Athletic,,22-Sep,254,,346,215,285,,7-Mar,299,13-Apr,218,2-Feb,291,,12-Sep,312,0-10,131,,0-1,0-3,0-4,0-1,0-2,15-Sep
,,,,,(8-21-2),,,,,,,(3-7-0),,(4-12-1),,(1-2-1),,,(8-11-2),,(0-10-0),,,(0-1-0),(0-3-0),(0-4-0),(0-1-0),(0-2-0),(8-14-2)
,302,IUPUI,Horizon League,,22-Jul,210,,289,186,151,,8-Mar,211,12-Apr,202,0-2,265,,15-Jun,206,7-Jan,220,,0-1,0-1,0-2,0-0,11-Jan,9-Jun
,,,,,(7-21-1),,,,,,,(3-7-1),,(4-12-0),,(0-2-0),,,(6-14-1),,(1-7-0),,,(0-1-0),(0-1-0),(0-2-0),(0-0-0),(1-10-1),(6-9-0)
,303,St_Peter's,Metro Atlantic Athletic,,16-Nov,252,,277,227,291,,6-May,267,10-Jun,242,0-0,---,,13-Jul,270,3-Apr,199,,0-0,0-0,0-0,0-1,2-Jan,13-Oct
,,,,,(11-14-2),,,,,,,(5-5-1),,(6-9-1),,(0-0-0),,,(7-11-2),,(4-3-0),,,(0-0-0),(0-0-0),(0-0-0),(0-1-0),(1-2-0),(10-11-2)
,304,SF_Austin,Southland,,17-Sep,220,,242,194,287,,8-Apr,227,9-May,213,0-0,---,,13-May,234,4-Apr,187,,0-0,0-1,0-1,0-4,2-Mar,10-Jun
,,,,,(8-15-3),,,,,,,(4-6-2),,(4-9-1),,(0-0-0),,,(4-12-2),,(4-3-1),,,(0-0-0),(0-1-0),(0-1-0),(0-4-0),(3-2-0),(5-8-3)
,305,F_Dickinson,Northeast,,20-Oct,254,,334,208,337,,5-Jun,312,15-Apr,221,0-0,---,,9-Sep,311,11-Jan,170,,0-0,0-2,0-2,0-2,0-7,9-Oct
,,,,,(9-19-2),,,,,,,(6-5-0),,(3-14-2),,(0-0-0),,,(8-8-2),,(1-11-0),,,(0-0-0),(0-2-0),(0-2-0),(0-2-0),(0-7-0),(9-8-2)
,306,TX_Southern,Southwestern Athletic,,17-Dec,246,,330,186,330,,4-Jun,304,12-Jun,211,0-1,282,,7-Dec,315,0-10,113,,0-0,0-4,0-4,0-2,0-1,10-Dec
,,,,,(10-17-2),,,,,,,(5-4-1),,(5-12-1),,(0-1-0),,,(10-7-2),,(0-10-0),,,(0-0-0),(0-4-0),(0-4-0),(0-2-0),(0-1-0),(10-10-2)
,307,VMI,Southern,,19-Nov,215,,284,172,352,,7-Mar,214,10-May,203,2-Mar,255,,12-Sep,215,7-Feb,217,,0-0,0-0,0-0,0-1,13-Mar,5-Aug
,,,,,(10-19-1),,,,,,,(3-7-0),,(4-10-1),,(3-2-0),,,(8-12-1),,(2-7-0),,,(0-0-0),(0-0-0),(0-0-0),(0-1-0),(3-13-0),(7-5-1)
,308,Lehigh,Patriot League,,19-Sep,245,,282,231,224,,5-Jun,269,14-Mar,230,0-0,---,,13-Jun,276,6-Mar,181,,0-0,0-2,0-2,0-2,1-Jan,14-Aug
,,,,,(8-18-2),,,,,,,(5-4-2),,(3-14-0),,(0-0-0),,,(5-12-2),,(3-6-0),,,(0-0-0),(0-2-0),(0-2-0),(0-2-0),(0-1-1),(8-13-1)
,309,Columbia,Ivy League,,15-Oct,246,,290,217,---,,6-Jul,276,9-Mar,214,0-0,---,,13-Jan,228,2-Sep,270,,0-0,Jan-00,Jan-00,0-1,0-4,10-Sep
,,,,,(10-15-0),,,,,,,(7-6-0),,(3-9-0),,(0-0-0),,,(1-13-0),,(9-2-0),,,(0-0-0),(1-0-0),(1-0-0),(0-1-0),(0-4-0),(9-10-0)
,310,Penn,Ivy League,,19-Aug,207,,298,162,290,,8-May,230,10-Mar,187,0-1,170,,10-Apr,228,9-Apr,184,,0-0,0-2,0-2,0-3,0-6,8-Aug
,,,,,(8-18-1),,,,,,,(5-7-1),,(3-10-0),,(0-1-0),,,(4-9-1),,(4-9-0),,,(0-0-0),(0-2-0),(0-2-0),(0-3-0),(0-6-0),(8-7-1)
,311,Loyola_MD,Patriot League,,19-Nov,261,,295,242,---,,7-Jun,277,12-May,249,0-0,---,,13-Jul,272,6-Apr,240,,0-0,0-1,0-1,0-1,0-4,13-Nov
,,,,,(11-19-0),,,,,,,(6-7-0),,(5-12-0),,(0-0-0),,,(7-13-0),,(4-6-0),,,(0-0-0),(0-1-0),(0-1-0),(0-1-0),(0-4-0),(11-13-0)
,312,UMBC,America East,,19-Oct,251,,306,224,264,,9-May,289,10-May,215,0-0,---,,12-May,269,7-May,225,,0-0,0-0,0-0,0-3,3-Jan,13-Sep
,,,,,(8-18-3),,,,,,,(5-9-0),,(3-9-3),,(0-0-0),,,(4-12-1),,(4-6-2),,,(0-0-0),(0-0-0),(0-0-0),(0-3-0),(1-3-0),(7-12-3)
,313,Detroit,Horizon League,,24-Jul,195,,254,181,222,,7-May,217,15-Feb,183,0-2,176,,17-Apr,205,7-Mar,174,,0-1,0-0,0-1,0-2,12-Feb,9-May
,,,,,(4-23-4),,,,,,,(3-7-2),,(1-14-2),,(0-2-0),,,(3-16-2),,(1-7-2),,,(0-1-0),(0-0-0),(0-1-0),(0-2-0),(1-11-2),(3-9-2)
,314,Southern_Utah,Western Athletic,,19-Sep,197,,240,177,---,,7-May,210,11-Mar,174,1-Jan,285,,13-Apr,207,6-May,182,,0-1,0-1,0-2,0-3,6-Feb,8-Jul
,,,,,(9-19-0),,,,,,,(5-7-0),,(3-11-0),,(1-1-0),,,(4-13-0),,(5-6-0),,,(0-1-0),(0-1-0),(0-2-0),(0-3-0),(2-6-0),(7-8-0)
,315,NC_A&T,Colonial Athletic,,25-Jun,204,,295,183,---,,9-Apr,229,15-Feb,185,0-1,220,,16-Mar,205,9-Mar,203,,0-0,0-1,0-1,0-2,11-Jan,11-May
,,,,,(6-25-0),,,,,,,(4-9-0),,(2-15-0),,(0-1-0),,,(3-16-0),,(3-9-0),,,(0-0-0),(0-1-0),(0-1-0),(0-2-0),(1-11-0),(5-11-0)
,316,Howard,Mid-Eastern,,18-Oct,245,,312,213,223,,4-Jun,268,11-Mar,222,3-Jan,272,,8-Jul,309,10-Mar,172,,0-2,0-1,0-3,0-0,2-Jan,13-Sep
,,,,,(9-17-2),,,,,,,(6-4-0),,(3-11-0),,(0-2-2),,,(7-8-0),,(2-9-2),,,(0-2-0),(0-1-0),(0-3-0),(0-0-0),(1-2-0),(8-12-2)
,317,Lindenwood,Ohio Valley,,13-17,252,,288,212,303,,3-Aug,282,12-Mar,215,2-Feb,308,,11-Nov,279,6-Feb,176,,0-1,0-1,0-2,0-1,0-2,13-12
,,,,,(11-15-4),,,,,,,(7-3-1),,(2-10-3),,(2-2-0),,,(9-9-4),,(2-6-0),,,(0-1-0),(0-1-0),(0-2-0),(0-1-0),(0-2-0),(11-10-4)
,318,Stony_Brook,Colonial Athletic,,24-Jul,208,,242,198,---,,9-Apr,208,13-Mar,203,0-2,245,,15-Apr,204,9-Mar,214,,0-1,0-0,0-1,0-1,8-Jan,14-Jun
,,,,,(7-24-0),,,,,,,(4-9-0),,(3-13-0),,(0-2-0),,,(4-15-0),,(3-9-0),,,(0-1-0),(0-0-0),(0-1-0),(0-1-0),(1-8-0),(6-14-0)
,319,Coastal_Car,Sun Belt,,22-Aug,230,,294,205,253,,8-Apr,237,13-Mar,217,1-Jan,293,,16-Mar,223,6-May,242,,0-0,0-0,0-0,0-1,0-10,11-Aug
,,,,,(8-21-1),,,,,,,(4-7-1),,(3-13-0),,(1-1-0),,,(3-15-1),,(5-6-0),,,(0-0-0),(0-0-0),(0-0-0),(0-1-0),(0-10-0),(8-10-1)
,320,Morehead_St,Ohio Valley,,17-Dec,250,,277,231,289,,5-Jun,280,10-Jun,219,0-2,335,,11-Oct,281,6-Feb,169,,0-1,0-1,0-2,0-0,3-Jan,12-Nov
,,,,,(11-17-1),,,,,,,(5-5-1),,(6-10-0),,(0-2-0),,,(9-11-1),,(2-6-0),,,(0-1-0),(0-1-0),(0-2-0),(0-0-0),(1-3-0),(10-12-1)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,321,Holy_Cross,Patriot League,,19-Nov,249,,281,230,263,,6-May,267,13-Apr,231,Feb-00,309,,14-May,273,5-Jun,209,,0-1,0-0,0-1,0-1,0-4,13-Nov
,,,,,(10-18-2),,,,,,,(4-6-1),,(4-12-1),,(2-0-0),,,(4-13-2),,(6-5-0),,,(0-1-0),(0-0-0),(0-1-0),(0-1-0),(0-4-0),(10-12-2)
,322,E_Illinois,Ohio Valley,,19-Sep,235,,289,217,182,,7-Apr,286,12-Apr,201,Jan-00,223,,12-Aug,279,7-Jan,125,,0-1,0-2,0-3,0-2,0-2,12-Sep
,,,,,(8-18-2),,,,,,,(3-7-1),,(4-11-1),,(1-0-0),,,(7-12-1),,(1-6-1),,,(0-1-0),(0-1-1),(0-2-1),(0-2-0),(0-2-0),(8-12-1)
,323,Fairfield,Metro Atlantic Athletic,,20-Nov,242,,279,223,256,,6-Jul,254,12-Mar,239,2-Jan,208,,13-Aug,257,7-Mar,213,,0-0,0-0,0-0,0-1,0-6,13-Nov
,,,,,(10-20-1),,,,,,,(7-6-0),,(2-12-1),,(1-2-0),,,(7-13-1),,(3-7-0),,,(0-0-0),(0-0-0),(0-0-0),(0-1-0),(0-6-0),(10-13-1)
,324,WI_Green_Bay,Horizon League,,27-Apr,188,,276,176,157,,10-Mar,203,17-Jan,178,0-0,---,,19-Feb,201,8-Feb,161,,0-0,0-1,0-1,0-3,0-15,8-Apr
,,,,,(4-26-1),,,,,,,(3-9-1),,(1-17-0),,(0-0-0),,,(2-18-1),,(2-8-0),,,(0-0-0),(0-1-0),(0-1-0),(0-3-0),(0-14-1),(4-8-0)
,325,Southern_Indiana,Ohio Valley,,20-Aug,256,,279,256,203,,7-Jun,263,13-Feb,251,0-0,---,,15-May,279,5-Mar,200,,0-0,0-0,0-0,0-1,4-Jan,15-Jul
,,,,,(8-17-3),,,,,,,(6-6-1),,(2-11-2),,(0-0-0),,,(5-14-1),,(3-3-2),,,(0-0-0),(0-0-0),(0-0-0),(0-0-1),(1-3-1),(7-14-1)
,326,Niagara,Metro Atlantic Athletic,,20-Oct,257,,306,227,295,,7-May,275,13-Mar,237,Feb-00,312,,14-Jun,265,6-Apr,242,,0-1,0-0,0-1,0-0,0-4,15-Oct
,,,,,(9-18-3),,,,,,,(5-6-1),,(2-12-2),,(2-0-0),,,(5-13-2),,(4-5-1),,,(0-1-0),(0-0-0),(0-1-0),(0-0-0),(0-4-0),(9-13-3)
,327,Saint Francis (PA),Northeast,,13-17,251,,302,198,339,,4-Jul,306,13-Jun,219,0-0,---,,8-Nov,309,9-Feb,152,,0-2,0-0,0-2,0-3,4-Jan,8-Dec
,,,,,(10-16-4),,,,,,,(5-4-2),,(5-12-2),,(0-0-0),,,(8-7-4),,(2-9-0),,,(0-2-0),(0-0-0),(0-2-0),(0-3-0),(1-4-0),(9-7-4)
,328,Army,Patriot League,,14-15,254,,282,226,272,,4-Oct,264,11-Apr,244,0-0,---,,9-Oct,270,6-Apr,223,,0-1,0-0,0-1,0-0,3-Feb,11-Dec
,,,,,(12-14-3),,,,,,,(9-4-1),,(3-10-2),,(0-0-0),,,(9-9-1),,(3-5-2),,,(0-1-0),(0-0-0),(0-1-0),(0-0-0),(1-3-1),(11-10-2)
,329,Alcorn_St,Southwestern Athletic,,20-Nov,230,,330,176,139,,3-Jun,321,16-May,189,0-1,268,,8-Nov,314,0-12,96,,0-1,0-0,0-1,0-5,0-6,8-Nov
,,,,,(11-19-1),,,,,,,(6-3-0),,(5-15-1),,(0-1-0),,,(11-8-0),,(0-11-1),,,(0-1-0),(0-0-0),(0-1-0),(0-5-0),(0-5-1),(11-8-0)
,330,NC_Central,Mid-Eastern,,19-Oct,257,,293,232,295,,4-Jun,282,14-Feb,239,1-Feb,273,,9-Jul,301,10-Mar,204,,0-0,0-1,0-1,0-1,0-3,14-Oct
,,,,,(9-17-3),,,,,,,(5-4-1),,(2-12-2),,(2-1-0),,,(6-7-3),,(3-10-0),,,(0-0-0),(0-1-0),(0-1-0),(0-1-0),(0-3-0),(9-12-3)
,331,Stonehill,Northeast,,17-Dec,266,,313,233,---,,3-Aug,295,13-Mar,238,1-Jan,334,,10-Jul,313,7-May,198,,0-1,0-0,0-1,0-2,4-Jan,10-Nov
,,,,,(12-17-0),,,,,,,(8-3-0),,(3-13-0),,(1-1-0),,,(7-10-0),,(5-7-0),,,(0-1-0),(0-0-0),(0-1-0),(0-2-0),(1-4-0),(11-10-0)
,332,Oral_Roberts,Summit,,22-Apr,176,,212,170,148,,6-Apr,201,0-15,156,0-1,226,,14-Mar,197,8-Jan,136,,0-1,0-1,0-2,0-2,9-Jan,9-Mar
,,,,,(4-21-1),,,,,,,(4-6-0),,(0-14-1),,(0-1-0),,,(3-13-1),,(1-8-0),,,(0-1-0),(0-1-0),(0-2-0),(0-2-0),(1-8-1),(3-9-0)
,333,Binghamton,America East,,17-Dec,263,,300,235,306,,4-Jun,275,12-May,250,1-Jan,308,,10-Jul,273,7-May,247,,0-0,0-0,0-0,0-1,0-5,11-Dec
,,,,,(9-17-3),,,,,,,(6-4-0),,(3-12-2),,(0-1-1),,,(6-10-1),,(3-7-2),,,(0-0-0),(0-0-0),(0-0-0),(0-1-0),(0-5-0),(9-11-3)
,334,Florida_A&M,Southwestern Athletic,,17-Dec,239,,320,181,---,,3-Jul,305,13-Apr,192,1-Jan,309,,9-Nov,307,8-Jan,88,,0-4,0-1,0-5,0-2,0-0,10-Dec
,,,,,(12-17-0),,,,,,,(7-3-0),,(4-13-0),,(1-1-0),,,(11-9-0),,(1-8-0),,,(0-4-0),(0-1-0),(0-5-0),(0-2-0),(0-0-0),(12-10-0)
,335,ULM,Sun Belt,,25-May,215,,234,208,270,,11-Mar,229,12-Feb,201,0-2,206,,16-Mar,212,9-Feb,219,,0-0,0-0,0-0,0-3,6-Feb,16-Mar
,,,,,(5-24-1),,,,,,,(3-10-1),,(2-12-0),,(0-2-0),,,(3-15-1),,(2-9-0),,,(0-0-0),(0-0-0),(0-0-0),(0-3-0),(2-6-0),(3-15-1)
,336,CS_Sacramento,Big Sky,,25-Apr,218,,259,212,---,,11-Feb,227,13-Feb,205,0-1,296,,16-Mar,232,9-Jan,192,,0-0,0-0,0-0,0-3,0-8,14-Apr
,,,,,(4-25-0),,,,,,,(2-11-0),,(2-13-0),,(0-1-0),,,(3-16-0),,(1-9-0),,,(0-0-0),(0-0-0),(0-0-0),(0-3-0),(0-8-0),(4-14-0)
,337,West_Georgia,Atlantic Sun,,25-May,212,,292,196,---,,8-Mar,226,15-Feb,212,0-2,136,,14-Apr,234,11-Jan,179,,0-0,0-1,0-1,0-1,0-12,11-May
,,,,,(5-25-0),,,,,,,(3-8-0),,(2-15-0),,(0-2-0),,,(4-14-0),,(1-11-0),,,(0-0-0),(0-1-0),(0-1-0),(0-1-0),(0-12-0),(5-11-0)
,338,Stetson,Atlantic Sun,,24-Jun,220,,313,190,268,,9-Mar,242,11-Mar,201,0-4,220,,13-Jun,246,0-11,174,,0-1,0-0,0-1,0-2,9-Jan,12-May
,,,,,(6-22-2),,,,,,,(3-8-1),,(3-10-1),,(0-4-0),,,(6-12-1),,(0-10-1),,,(0-1-0),(0-0-0),(0-1-0),(0-2-0),(1-9-0),(5-10-2)
,339,Bellarmine,Atlantic Sun,,26-Mar,220,,251,212,258,,10-Mar,255,0-16,191,0-0,---,,16-Feb,231,10-Jan,200,,0-1,0-1,0-2,0-1,8-Jan,15-Feb
,,,,,(3-24-2),,,,,,,(3-9-1),,(0-15-1),,(0-0-0),,,(2-14-2),,(1-10-0),,,(0-1-0),(0-1-0),(0-2-0),(0-1-0),(1-8-0),(2-13-2)
,340,Cent_Arkansas,Atlantic Sun,,24-Jul,213,,341,181,226,,7-May,241,17-Jan,187,Jan-00,338,,15-May,230,9-Feb,182,,0-1,0-1,0-2,0-3,0-7,12-Jul
,,,,,(5-22-4),,,,,,,(3-5-4),,(1-17-0),,(1-0-0),,,(4-14-2),,(1-8-2),,,(0-1-0),(0-1-0),(0-2-0),(0-3-0),(0-6-1),(5-11-3)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,341,Delaware_St,Mid-Eastern,,14-Dec,265,,323,214,270,,2-Jul,309,11-Mar,227,1-Feb,304,,7-Aug,305,7-Apr,210,,0-0,0-1,0-1,0-2,0-1,10-Dec
,,,,,(11-13-2),,,,,,,(6-1-2),,(3-11-0),,(2-1-0),,,(7-6-2),,(4-7-0),,,(0-0-0),(0-1-0),(0-1-0),(0-2-0),(0-1-0),(11-9-2)
,342,W_Illinois,Ohio Valley,,19-Sep,261,,272,252,303,,7-May,286,11-Apr,239,0-1,286,,14-Jun,277,5-Mar,221,,0-0,0-0,0-0,0-0,2-Feb,17-Jul
,,,,,(8-18-2),,,,,,,(4-6-2),,(4-11-0),,(0-1-0),,,(5-13-2),,(3-5-0),,,(0-0-0),(0-0-0),(0-0-0),(0-0-0),(2-2-0),(6-16-2)
,343,Buffalo,Mid-American,,22-Jul,208,,285,184,---,,9-Apr,227,13-Mar,193,0-0,---,,14-Apr,224,8-Mar,183,,0-0,0-1,0-1,0-2,0-9,10-Jul
,,,,,(7-22-0),,,,,,,(4-9-0),,(3-13-0),,(0-0-0),,,(4-14-0),,(3-8-0),,,(0-0-0),(0-1-0),(0-1-0),(0-2-0),(0-9-0),(7-10-0)
,344,Morgan_St,Mid-Eastern,,18-Oct,264,,317,226,345,,4-Jul,289,14-Feb,243,Jan-00,316,,8-Aug,297,10-Feb,220,,0-1,0-1,0-2,0-1,0-1,14-Oct
,,,,,(9-17-2),,,,,,,(6-4-1),,(2-13-1),,(1-0-0),,,(7-7-2),,(2-10-0),,,(0-1-0),(0-1-0),(0-2-0),(0-1-0),(0-1-0),(9-13-2)
,345,SC_Upstate,Big South,,26-Mar,201,,303,190,---,,10-Jan,209,14-Feb,190,0-2,252,,15-Feb,225,11-Jan,167,,0-0,0-0,0-0,0-3,0-11,12-Mar
,,,,,(3-26-0),,,,,,,(1-10-0),,(2-14-0),,(0-2-0),,,(2-15-0),,(1-11-0),,,(0-0-0),(0-0-0),(0-0-0),(0-3-0),(0-11-0),(3-12-0)
,346,Mercyhurst,Northeast,,16-Dec,274,,336,227,291,,2-Aug,312,14-Apr,253,0-0,---,,7-Sep,312,9-Mar,224,,0-0,0-1,0-1,0-2,0-4,9-Dec
,,,,,(11-15-2),,,,,,,(7-2-1),,(4-13-1),,(0-0-0),,,(8-6-2),,(3-9-0),,,(0-0-0),(0-1-0),(0-1-0),(0-2-0),(0-4-0),(11-8-2)
,347,CS_Fullerton,Big West,,26-Apr,168,,249,155,---,,11-Feb,189,15-Feb,151,0-0,---,,19-Jan,178,7-Mar,147,,0-0,0-1,0-1,0-8,9-Jan,8-Mar
,,,,,(4-26-0),,,,,,,(2-11-0),,(2-15-0),,(0-0-0),,,(1-19-0),,(3-7-0),,,(0-0-0),(0-1-0),(0-1-0),(0-8-0),(1-9-0),(3-8-0)
,348,Le_Moyne,Northeast,,23-Jul,263,,303,238,327,,7-Apr,299,16-Feb,239,Jan-00,289,,13-Apr,305,10-Mar,207,,0-0,0-1,0-1,0-2,0-6,14-Jul
,,,,,(6-20-4),,,,,,,(3-4-4),,(2-16-0),,(1-0-0),,,(3-11-3),,(3-9-1),,,(0-0-0),(0-1-0),(0-1-0),(0-2-0),(0-6-0),(6-11-4)
,349,Wagner,Northeast,,16-Oct,278,,325,242,337,,6-Apr,311,10-Jun,257,0-0,---,,11-Jun,313,5-Apr,212,,0-1,0-0,0-1,0-2,2-Jan,11-Sep
,,,,,(9-15-2),,,,,,,(3-6-1),,(6-9-1),,(0-0-0),,,(5-10-2),,(4-5-0),,,(0-1-0),(0-0-0),(0-1-0),(0-2-0),(1-2-0),(8-10-2)
,350,N_Illinois,Mid-American,,25-Mar,212,,252,205,255,,10-Feb,230,15-Jan,198,0-0,---,,16-Feb,226,9-Jan,186,,0-0,0-0,0-0,0-1,0-11,13-Mar
,,,,,(2-24-2),,,,,,,(2-10-0),,(0-14-2),,(0-0-0),,,(1-15-2),,(1-9-0),,,(0-0-0),(0-0-0),(0-0-0),(0-1-0),(0-11-0),(2-12-2)
,351,New_Orleans,Southland,,26-Mar,192,,258,185,209,,0-10,227,15-Feb,156,1-Jan,324,,17-Jan,234,9-Feb,124,,0-0,0-2,0-2,0-6,4-Feb,14-Jan
,,,,,(2-25-2),,,,,,,(0-9-1),,(1-15-1),,(1-1-0),,,(1-16-1),,(1-9-1),,,(0-0-0),(0-2-0),(0-2-0),(0-6-0),(1-4-1),(1-13-1)
,352,W_Carolina,Southern,,22-May,198,,285,169,278,,7-Apr,232,14-Jan,168,0-1,279,,15-Apr,211,7-Jan,167,,0-2,0-0,0-2,0-2,11-Jan,7-Apr
,,,,,(4-20-3),,,,,,,(4-6-1),,(0-13-2),,(0-1-0),,,(3-13-3),,(1-7-0),,,(0-2-0),(0-0-0),(0-2-0),(0-2-0),(1-10-1),(3-6-2)
,353,Canisius,Metro Atlantic Athletic,,28-Mar,228,,284,222,---,,12-Jan,247,15-Feb,212,0-1,245,,17-Mar,262,0-11,166,,0-2,0-0,0-2,0-1,0-5,20-Mar
,,,,,(3-28-0),,,,,,,(1-12-0),,(2-15-0),,(0-1-0),,,(3-17-0),,(0-11-0),,,(0-2-0),(0-0-0),(0-2-0),(0-1-0),(0-5-0),(3-20-0)
,354,NJIT,America East,,25-May,249,,304,234,333,,9-Mar,282,16-Jan,222,Jan-00,320,,13-Mar,271,12-Feb,224,,0-0,0-1,0-1,0-0,0-8,16-May
,,,,,(5-24-1),,,,,,,(3-8-1),,(1-16-0),,(1-0-0),,,(3-12-1),,(2-12-0),,,(0-0-0),(0-1-0),(0-1-0),(0-0-0),(0-8-0),(5-15-1)
,355,Prairie_View,Southwestern Athletic,,27-Apr,240,,347,224,---,,7-Feb,310,19-Feb,205,0-1,334,,15-Apr,313,0-12,123,,0-0,0-3,0-3,0-3,0-4,17-Apr
,,,,,(4-27-0),,,,,,,(2-7-0),,(2-19-0),,(0-1-0),,,(4-15-0),,(0-12-0),,,(0-0-0),(0-3-0),(0-3-0),(0-3-0),(0-4-0),(4-17-0)
,356,Chicago_St,Northeast,,28-Apr,225,,347,205,309,,7-Mar,287,19-Jan,198,0-2,184,,13-Apr,310,0-15,128,,0-2,0-1,0-3,0-3,0-10,12-Apr
,,,,,(3-27-2),,,,,,,(2-7-1),,(1-18-1),,(0-2-0),,,(3-12-2),,(0-15-0),,,(0-2-0),(0-1-0),(0-3-0),(0-3-0),(0-10-0),(3-11-2)
,357,New_Hampshire,America East,,24-Jun,255,,307,242,---,,7-Apr,274,15-Feb,238,0-2,291,,11-Jun,269,0-13,236,,0-0,0-1,0-1,0-1,0-4,18-Jun
,,,,,(6-24-0),,,,,,,(4-7-0),,(2-15-0),,(0-2-0),,,(6-11-0),,(0-13-0),,,(0-0-0),(0-1-0),(0-1-0),(0-1-0),(0-4-0),(6-18-0)
,358,Citadel,Southern,,25-Jan,215,,338,208,228,,12-Jan,222,0-12,200,0-1,307,,0-19,212,6-Jan,224,,0-0,0-0,0-0,0-1,0-14,10-Jan
,,,,,(1-22-3),,,,,,,(1-9-3),,(0-12-0),,(0-1-0),,,(0-16-3),,(1-6-0),,,(0-0-0),(0-0-0),(0-0-0),(0-1-0),(0-12-2),(1-9-1)
,359,Alabama_A&M,Southwestern Athletic,,22-Jul,260,,351,226,285,,9-May,279,12-Feb,238,0-1,301,,13-Jun,310,9-Jan,164,,0-0,0-1,0-1,0-2,0-3,16-Jul
,,,,,(7-20-2),,,,,,,(5-8-1),,(2-11-1),,(0-1-0),,,(6-11-2),,(1-9-0),,,(0-0-0),(0-1-0),(0-1-0),(0-2-0),(0-3-0),(7-14-2)
,360,Coppin_St,Mid-Eastern,,24-May,231,,315,213,344,,6-Apr,296,17-Jan,197,0-1,211,,11-Apr,294,13-Jan,164,,0-0,0-0,0-0,0-6,0-3,15-May
,,,,,(4-24-1),,,,,,,(3-6-1),,(1-17-0),,(0-1-0),,,(3-11-1),,(1-13-0),,,(0-0-0),(0-0-0),(0-0-0),(0-6-0),(0-3-0),(4-15-1)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
