Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,,
,,,,,(27-4-3),,,,,,,(14-2-0),,(10-1-2),,(3-1-1),,,(19-1-1),,(8-3-2),,,(2-1-1),(1-1-1),(3-2-2),(7-1-0),(15-1-1),(2-0-0)
,44,Cincinnati,Big 12,,18-15,94,,146,31,---,,5-Dec,130,9-Apr,58,1-Feb,49,,14-Jul,39,1-Nov,190,,7-Jan,4-Feb,11-Mar,4-Aug,0-0,Jul-00
,,,,,(18-15-0),,,,,,,(12-5-0),,(4-9-0),,(2-1-0),,,(7-14-0),,(11-1-0),,,(1-7-0),(2-4-0),(3-11-0),(8-4-0),(0-0-0),(7-0-0)
,45,Indiana,Big Ten,,19-13,78,,115,31,39,,14-4,105,6-Apr,47,3-Jan,34,,11-Oct,44,2-Sep,144,,7-Feb,4-Feb,11-Apr,2-Jul,May-00,Mar-00
,,,,,(18-13-1),,,,,,,(14-4-0),,(3-6-1),,(1-3-0),,,(9-11-1),,(9-2-0),,,(2-7-0),(1-4-1),(3-11-1),(7-2-0),(5-0-0),(3-0-0)
,46,Colorado_St,Mountain West,,25-9,120,,139,56,147,,15-2,145,4-Jul,112,3-Mar,63,,19-4,110,5-Jun,140,,0-0,4-Mar,4-Mar,3-Sep,2-Jun,Jul-00
,,,,,(23-8-3),,,,,,,(14-1-2),,(7-4-0),,(2-3-1),,,(19-4-0),,(4-4-3),,,(0-0-0),(3-4-0),(3-4-0),(8-3-1),(6-1-1),(6-0-1)
,47,SMU,Atlantic Coast,,23-10,113,,145,41,---,,5-Dec,134,4-Jul,92,1-Apr,91,,14-8,75,2-Sep,190,,0-4,0-2,0-6,4-Nov,Jul-00,May-00
,,,,,(23-10-0),,,,,,,(12-5-0),,(7-4-0),,(4-1-0),,,(14-8-0),,(9-2-0),,,(0-4-0),(0-2-0),(0-6-0),(11-4-0),(7-0-0),(5-0-0)
,48,Northwestern,Big Ten,,17-16,82,,119,44,95,,5-Dec,108,9-Feb,49,2-Mar,66,,14-Aug,44,2-Sep,159,,7-Feb,2-Feb,9-Apr,6-Jul,1-Apr,Feb-00
,,,,,(14-15-4),,,,,,,(9-5-3),,(2-8-1),,(3-2-0),,,(6-13-3),,(8-2-1),,,(0-6-3),(2-2-0),(2-8-3),(7-6-0),(4-1-0),(1-0-1)
,49,Boise_St,Mountain West,,23-10,120,,148,69,25,,2-Dec,139,5-Jul,107,3-Apr,105,,16-7,108,3-Jul,148,,Feb-00,4-Feb,4-Apr,4-Jun,2-Jun,Jul-00
,,,,,(22-10-1),,,,,,,(12-2-0),,(7-5-0),,(3-3-1),,,(16-7-0),,(6-3-1),,,(1-0-1),(2-4-0),(3-4-1),(6-4-0),(6-2-0),(7-0-0)
,50,Texas,Southeastern,,19-15,103,,176,30,34,,7-Nov,150,7-Apr,47,1-Apr,58,,13-Aug,35,2-Nov,215,,5-Feb,7-Mar,12-May,3-May,Feb-00,Jul-00
,,,,,(17-14-3),,,,,,,(11-7-0),,(3-6-2),,(3-1-1),,,(6-12-3),,(11-2-0),,,(2-5-0),(1-6-3),(3-11-3),(5-3-0),(2-0-0),(7-0-0)
,51,Pittsburgh,Atlantic Coast,,17-15,94,,138,52,29,,13-4,125,9-Mar,58,2-Jan,59,,13-Aug,70,2-Sep,138,,0-5,3-Mar,8-Mar,6-May,1-Jun,Mar-00
,,,,,(16-14-2),,,,,,,(13-3-1),,(2-9-1),,(1-2-0),,,(8-12-1),,(8-2-1),,,(0-4-1),(2-3-1),(2-7-2),(5-6-0),(6-1-0),(3-0-0)
,52,UCF,Big 12,,17-16,79,,124,29,51,,13-5,102,8-Feb,39,3-Feb,79,,13-Jul,38,3-Oct,143,,9-Jan,3-Jan,12-Feb,4-Jul,Apr-00,Apr-00
,,,,,(17-14-2),,,,,,,(13-5-0),,(2-8-0),,(2-1-2),,,(7-12-1),,(10-2-1),,,(1-8-1),(1-3-0),(2-11-1),(7-3-1),(4-0-0),(4-0-0)
,53,Santa_Clara,West Coast,,20-12,128,,157,81,103,,4-Nov,140,5-Jun,124,3-Mar,107,,7-Dec,132,5-Aug,123,,3-Jan,0-0,3-Jan,5-Apr,4-Aug,Jul-00
,,,,,(19-10-3),,,,,,,(10-3-2),,(6-4-1),,(3-3-0),,,(11-6-2),,(8-4-1),,,(1-3-0),(0-0-0),(1-3-0),(3-4-2),(8-3-1),(7-0-0)
,54,Oklahoma,Southeastern,,19-13,90,,133,27,---,,5-Nov,149,7-Feb,24,1-Jun,38,,13-Jul,33,Dec-00,184,,7-Apr,5-Apr,12-Aug,1-May,0-0,Jun-00
,,,,,(19-13-0),,,,,,,(11-5-0),,(2-7-0),,(6-1-0),,,(7-13-0),,(12-0-0),,,(4-7-0),(4-5-0),(8-12-0),(5-1-0),(0-0-0),(6-0-0)
,55,Kansas_St,Big 12,,16-17,86,,126,47,92,,6-Oct,110,9-Mar,48,2-Mar,103,,12-Sep,39,5-Jul,169,,6-Mar,2-Mar,8-Jun,8-Apr,1-Feb,Apr-00
,,,,,(16-16-1),,,,,,,(10-5-1),,(3-9-0),,(3-2-0),,,(9-12-0),,(7-4-1),,,(3-6-0),(3-2-0),(6-8-0),(4-7-1),(2-1-0),(4-0-0)
,56,Vanderbilt,Southeastern,,20-12,103,,154,31,17,,14-3,147,7-Mar,38,2-Mar,84,,11-Aug,32,1-Dec,208,,6-Mar,4-Mar,10-Jun,2-May,Feb-00,Jul-00
,,,,,(19-12-1),,,,,,,(13-3-1),,(3-7-0),,(3-2-0),,,(7-11-1),,(12-1-0),,,(2-6-1),(3-4-0),(5-10-1),(5-2-0),(2-0-0),(7-0-0)
,57,USC,Big Ten,,16-17,85,,139,39,67,,7-Dec,116,7-Mar,46,3-Jan,38,,14-Aug,46,3-Aug,163,,6-Feb,0-8,14-Feb,3-Apr,Jun-00,Apr-00
,,,,,(15-17-1),,,,,,,(12-7-0),,(3-7-0),,(0-3-1),,,(7-14-1),,(8-3-0),,,(2-6-0),(0-8-0),(2-14-0),(3-3-1),(6-0-0),(4-0-0)
,58,Nebraska,Big Ten,,17-14,97,,151,37,45,,6-Oct,130,7-May,58,1-Feb,79,,13-Jul,44,1-Oct,194,,7-Jan,1-Jun,8-Jul,6-Jan,Feb-00,Jul-00
