Through games of 3/16/2025,,All games (vs. Div. I opponents),,Regulation wins,Regulation losses,Overtime,,Home,Road,Neutral1,,Conference2,Non-Conference2,,vs.,vs.,vs.,vs.,vs.,vs.,,,,,,,,,
,,,,,,,,,,,,,,,,25-Jan,26-50,Jan-50,51-100,101-200,201+,,,,,,,,
,LRMC Rank,Team,Conference,,Win/Loss,Avg. Opp. Rank,,Avg. Opp. Rank,Avg. Opp. Rank,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Avg. Opp. Rank,Win/Loss,Avg. Opp. Rank,,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss,Win/Loss
,,,,,Record,,,,,,,Record,,Record,,Record,,,Record,,Record,,,Record,Record,Record,Record,Record,Record
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,Arkansas,Southeastern,,20-13,92,,138,29,45,,14-4,130,6-Apr,52,3-Feb,37,,11-Sep,37,2-Nov,177,,7-Feb,4-May,11-Jul,2-May,Mar-00,May-00
,,,,,(19-13-1),,,,,,,(13-4-1),,(4-6-0),,(2-3-0),,,(8-11-1),,(11-2-0),,,(2-7-0),(4-4-1),(6-11-1),(5-2-0),(3-0-0),(5-0-0)
,42,Boise_St,Mountain West,,23-10,132,,165,68,24,,2-Dec,153,5-Jul,122,3-Apr,106,,16-7,123,3-Jul,150,,Feb-00,7-Apr,7-Jun,1-Apr,2-Apr,Sep-00
,,,,,(22-10-1),,,,,,,(12-2-0),,(7-5-0),,(3-3-1),,,(16-7-0),,(6-3-1),,,(1-0-1),(4-7-0),(5-7-1),(4-1-0),(4-2-0),(9-0-0)
,43,Ohio_St,Big Ten,,17-15,82,,128,32,68,,6-Nov,119,7-Apr,41,2-Feb,35,,12-Sep,49,3-Aug,143,,6-Mar,3-Jan,9-Apr,6-Jun,Feb-00,May-00
,,,,,(15-13-4),,,,,,,(10-4-3),,(3-7-1),,(2-2-0),,,(7-11-3),,(8-2-1),,,(3-6-0),(1-3-0),(4-9-0),(4-4-4),(2-0-0),(5-0-0)
,44,Colorado_St,Mountain West,,25-9,132,,158,51,147,,15-2,158,4-Jul,131,3-Mar,62,,19-4,125,5-Jun,146,,0-0,6-Jun,6-Jun,1-Jun,2-Apr,Sep-00
,,,,,(23-8-3),,,,,,,(14-1-2),,(7-4-0),,(2-3-1),,,(19-4-0),,(4-4-3),,,(0-0-0),(6-6-0),(6-6-0),(5-1-1),(4-1-1),(8-0-1)
,45,Texas,Southeastern,,19-15,102,,175,28,33,,7-Nov,147,7-Apr,47,1-Apr,61,,13-Aug,32,2-Nov,215,,6-Apr,7-Feb,13-Jun,2-Mar,Mar-00,Jul-00
,,,,,(17-14-3),,,,,,,(11-7-0),,(3-6-2),,(3-1-1),,,(6-12-3),,(11-2-0),,,(3-6-1),(1-6-2),(4-12-3),(3-2-0),(3-0-0),(7-0-0)
,46,Oklahoma,Southeastern,,19-13,90,,135,24,---,,5-Nov,146,7-Feb,22,1-Jun,47,,13-Jul,31,Dec-00,188,,9-Mar,3-May,12-Aug,1-Mar,Feb-00,Jun-00
,,,,,(19-13-0),,,,,,,(11-5-0),,(2-7-0),,(6-1-0),,,(7-13-0),,(12-0-0),,,(3-9-0),(5-3-0),(8-12-0),(3-1-0),(2-0-0),(6-0-0)
,47,Utah_St,Mountain West,,25-7,137,,162,45,---,,14-2,163,5-Jul,118,Apr-00,87,,16-6,129,1-Sep,153,,Jan-00,6-Apr,6-May,1-Jun,Apr-00,Oct-00
,,,,,(25-7-0),,,,,,,(14-2-0),,(7-5-0),,(4-0-0),,,(16-6-0),,(9-1-0),,,(1-0-0),(4-6-0),(5-6-0),(6-1-0),(4-0-0),(10-0-0)
,48,San_Diego_St,Mountain West,,20-9,118,,147,49,166,,3-Nov,131,4-Jun,135,2-Mar,45,,14-7,131,2-Jun,83,,1-Jan,6-Jun,7-Jul,2-Feb,Apr-00,Jul-00
,,,,,(18-9-2),,,,,,,(11-3-0),,(5-4-1),,(2-2-1),,,(13-7-1),,(5-2-1),,,(0-1-1),(6-6-0),(6-7-1),(2-2-0),(4-0-0),(6-0-1)
,49,West_Virginia,Big 12,,19-13,84,,128,38,19,,13-4,121,7-Apr,45,2-Feb,30,,10-Oct,44,3-Sep,150,,7-Apr,0-1,8-Apr,5-Aug,Feb-00,May-00
,,,,,(17-11-4),,,,,,,(13-4-0),,(4-6-1),,(0-1-3),,,(9-9-2),,(8-2-2),,,(2-6-3),(0-0-1),(2-6-4),(8-5-0),(2-0-0),(5-0-0)
